               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.017207,            0.013081,           0.0058238,             0.84369,             0.86123,             0.87596,             0.71733,            0.013704,            0.008315,            0.011553,           0.0079012,           0.0079012,           0.0079012
                 108,            0.017746,            0.013538,             0.00634,             0.82911,             0.81035,             0.83858,               0.693,            0.013917,            0.008376,            0.013167,           0.0078814,           0.0078814,           0.0078814
                 109,            0.018257,            0.013356,            0.005286,             0.78452,              0.8761,             0.85528,              0.6997,            0.013846,           0.0084908,            0.011868,           0.0078616,           0.0078616,           0.0078616
                 110,            0.017693,            0.013458,           0.0049204,             0.86937,             0.86496,             0.89239,             0.72347,            0.013234,           0.0079995,            0.013536,           0.0078418,           0.0078418,           0.0078418
                 111,            0.017153,            0.013381,           0.0060959,             0.88917,             0.82917,             0.87857,             0.70178,            0.013488,           0.0085724,            0.014381,            0.007822,            0.007822,            0.007822
                 112,            0.017177,              0.0137,           0.0054641,             0.93369,             0.81776,             0.87616,             0.72405,            0.013183,           0.0080901,            0.014422,           0.0078022,           0.0078022,           0.0078022
                 113,            0.016762,            0.013443,           0.0049403,             0.80664,             0.88384,             0.86171,              0.7153,            0.013349,           0.0079966,            0.013227,           0.0077824,           0.0077824,           0.0077824
                 114,            0.016919,            0.013108,           0.0053445,              0.8667,              0.8678,             0.87414,             0.72101,            0.013126,           0.0081329,            0.014423,           0.0077626,           0.0077626,           0.0077626
                 115,            0.016231,            0.013614,           0.0048362,             0.83812,             0.87162,             0.88418,             0.72514,            0.013084,           0.0080499,            0.012753,           0.0077428,           0.0077428,           0.0077428
                 116,            0.016382,            0.013085,           0.0047207,             0.87757,             0.83889,             0.88258,             0.72407,            0.013064,           0.0081931,            0.012959,            0.007723,            0.007723,            0.007723
                 117,            0.016627,            0.013454,            0.005669,             0.86785,             0.83327,              0.8692,             0.73249,            0.012994,           0.0082981,           0.0091073,           0.0077032,           0.0077032,           0.0077032
                 118,            0.017003,            0.013401,           0.0053653,              0.8498,             0.87693,             0.87427,             0.71214,            0.013283,           0.0083989,           0.0081899,           0.0076834,           0.0076834,           0.0076834
                 119,            0.016364,            0.012886,            0.005578,             0.80914,             0.83474,             0.85536,             0.69995,            0.013223,           0.0083594,            0.011132,           0.0076636,           0.0076636,           0.0076636
                 120,            0.015662,             0.01278,           0.0054718,             0.85265,              0.8233,             0.85782,             0.71479,            0.012621,           0.0078769,            0.012258,           0.0076438,           0.0076438,           0.0076438
                 121,            0.016132,            0.012998,           0.0049178,             0.88692,             0.85567,             0.89782,             0.73996,             0.01316,           0.0079204,            0.010216,            0.007624,            0.007624,            0.007624
                 122,            0.017117,            0.012882,           0.0059345,             0.89934,             0.87626,             0.91424,             0.73283,             0.01394,            0.008393,           0.0094923,           0.0076042,           0.0076042,           0.0076042
                 123,             0.01666,             0.01308,            0.005002,             0.89134,             0.86702,             0.89557,             0.74584,            0.012901,           0.0080765,            0.014904,           0.0075844,           0.0075844,           0.0075844
                 124,             0.01702,            0.013114,           0.0053346,             0.87986,             0.85569,             0.87402,             0.72278,            0.012644,           0.0077389,            0.014353,           0.0075646,           0.0075646,           0.0075646
                 125,            0.016271,            0.012856,           0.0048585,             0.85417,             0.88191,             0.89461,             0.74341,            0.013292,           0.0079377,             0.01016,           0.0075448,           0.0075448,           0.0075448
                 126,            0.016636,            0.012789,           0.0053035,             0.90275,             0.85446,             0.88039,             0.72806,            0.013266,           0.0082104,            0.013088,            0.007525,            0.007525,            0.007525
                 127,            0.015807,            0.012828,            0.005834,             0.89356,             0.86351,             0.90448,             0.76128,            0.013157,           0.0077177,            0.011869,           0.0075052,           0.0075052,           0.0075052
                 128,            0.016119,            0.013156,           0.0059242,             0.83301,             0.87523,             0.89036,             0.73597,            0.013219,           0.0081068,            0.013257,           0.0074854,           0.0074854,           0.0074854
                 129,            0.016363,            0.013095,           0.0056176,             0.83365,             0.88053,             0.88029,             0.72449,            0.012961,           0.0082021,            0.013183,           0.0074656,           0.0074656,           0.0074656
                 130,            0.016689,            0.013261,           0.0051436,             0.86988,             0.83359,             0.87587,             0.73754,            0.012993,           0.0082837,            0.012961,           0.0074458,           0.0074458,           0.0074458
                 131,            0.016196,            0.012666,           0.0048965,              0.8797,             0.86477,             0.89571,             0.74246,            0.012457,           0.0076745,            0.014352,            0.007426,            0.007426,            0.007426
                 132,            0.016438,            0.012697,           0.0050851,             0.89665,             0.85286,             0.88929,             0.72446,            0.013145,           0.0081269,            0.013199,           0.0074062,           0.0074062,           0.0074062
                 133,            0.016677,            0.013175,           0.0049683,             0.88709,              0.8217,             0.85805,             0.71939,            0.013127,           0.0083085,            0.012287,           0.0073864,           0.0073864,           0.0073864
                 134,            0.016403,            0.012651,           0.0054253,             0.92516,             0.80413,              0.8818,             0.73709,            0.012963,           0.0083566,            0.011814,           0.0073666,           0.0073666,           0.0073666
                 135,            0.016252,            0.013411,           0.0057054,             0.88309,             0.85086,             0.86856,             0.72952,            0.012141,           0.0074208,            0.013753,           0.0073468,           0.0073468,           0.0073468
                 136,            0.016046,            0.012659,           0.0048006,             0.82661,             0.85455,             0.85294,             0.71365,            0.012646,           0.0077227,             0.01376,            0.007327,            0.007327,            0.007327
                 137,            0.016064,            0.013264,           0.0050165,             0.88247,             0.84783,             0.88853,             0.75381,            0.012061,           0.0074121,            0.012317,           0.0073072,           0.0073072,           0.0073072
                 138,            0.015731,            0.012777,           0.0044828,             0.89291,              0.8923,             0.89663,              0.7416,            0.012644,           0.0074424,            0.011543,           0.0072874,           0.0072874,           0.0072874
                 139,            0.015491,            0.012367,           0.0041463,             0.84814,             0.84701,             0.85637,              0.7337,            0.012315,           0.0073965,             0.01271,           0.0072676,           0.0072676,           0.0072676
                 140,            0.015483,            0.012501,            0.004759,             0.81589,             0.83592,             0.85123,             0.71625,            0.013175,           0.0078744,            0.013104,           0.0072478,           0.0072478,           0.0072478
                 141,            0.015721,            0.012712,           0.0043354,             0.87429,               0.877,             0.87881,             0.73796,            0.012289,           0.0075617,            0.013789,            0.007228,            0.007228,            0.007228
                 142,            0.016304,            0.013479,           0.0041674,             0.90901,             0.87335,              0.8989,             0.75541,            0.012209,           0.0079054,            0.012084,           0.0072082,           0.0072082,           0.0072082
                 143,            0.015183,            0.012358,           0.0038002,             0.85272,             0.85235,             0.86567,              0.7333,            0.012181,             0.00767,            0.014424,           0.0071884,           0.0071884,           0.0071884
                 144,            0.015167,            0.012081,           0.0038377,             0.86222,             0.85962,             0.86896,             0.73279,            0.012123,           0.0077538,            0.015669,           0.0071686,           0.0071686,           0.0071686
                 145,            0.015773,            0.012236,           0.0044353,             0.83133,             0.88495,             0.88856,             0.73981,            0.012152,           0.0076771,            0.013317,           0.0071488,           0.0071488,           0.0071488
                 146,            0.015761,            0.012037,           0.0046149,             0.86306,             0.85997,             0.88509,             0.72427,            0.012988,           0.0078714,            0.013396,            0.007129,            0.007129,            0.007129
                 147,            0.016483,            0.012833,           0.0044903,             0.83194,             0.86485,             0.87251,             0.72414,            0.012555,           0.0078633,            0.010988,           0.0071092,           0.0071092,           0.0071092
                 148,             0.01571,             0.01262,           0.0042224,             0.86415,             0.83797,             0.88574,             0.73893,            0.013255,           0.0079375,           0.0098215,           0.0070894,           0.0070894,           0.0070894
                 149,            0.015164,            0.012361,           0.0034139,             0.86038,             0.88041,             0.87624,             0.74112,             0.01257,           0.0077991,            0.012623,           0.0070696,           0.0070696,           0.0070696
                 150,            0.015021,            0.012554,           0.0042956,             0.84941,             0.87846,              0.8722,             0.73115,            0.012658,           0.0079865,            0.013691,           0.0070498,           0.0070498,           0.0070498
                 151,            0.015327,            0.012399,            0.004356,             0.83533,             0.86222,             0.85877,             0.71275,            0.012755,           0.0076287,            0.017058,             0.00703,             0.00703,             0.00703
                 152,            0.015689,            0.012264,           0.0041502,             0.88095,             0.83748,             0.86761,             0.71831,            0.012892,           0.0081205,            0.015021,           0.0070102,           0.0070102,           0.0070102
                 153,            0.015892,            0.012924,           0.0044985,             0.91037,             0.85444,             0.88542,             0.75216,            0.012045,           0.0075967,            0.014918,           0.0069904,           0.0069904,           0.0069904
                 154,            0.015509,            0.012731,           0.0044439,             0.89023,             0.85423,             0.87806,             0.73967,            0.012538,           0.0089316,            0.013698,           0.0069706,           0.0069706,           0.0069706
                 155,            0.015355,            0.012048,           0.0038895,             0.87711,             0.87143,             0.88908,             0.73387,            0.013149,           0.0081649,            0.015051,           0.0069508,           0.0069508,           0.0069508
